time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,0,0,0,0
2026-09-11 00:00:00+00:00,0,0,0,0
2026-09-12 00:00:00+00:00,0,0,0,0
2026-09-13 00:00:00+00:00,0,0,0,0
2026-09-14 00:00:00+00:00,0,0,0,0
2026-09-15 00:00:00+00:00,0,0,0,0
2026-09-16 00:00:00+00:00,294,148,520,285
2026-09-17 00:00:00+00:00,261,122,524,292
2026-09-18 00:00:00+00:00,97,58,450,323
2026-09-19 00:00:00+00:00,55,36,342,265
2026-09-20 00:00:00+00:00,34,24,125,85
2026-09-21 00:00:00+00:00,72,40,179,117
2026-09-22 00:00:00+00:00,38,29,182,95
2026-09-23 00:00:00+00:00,94,59,171,94
